_GAMENAME|BLOCKPOST
_MAP_SAVED|MAPA ULOŽENA
_CONSERVATION|MAPA SE UKLÁDÁ...
_ENABLE_CHAT|POVOLIT CHAT
_DISABLE_CHAT|ZAKÁZAT CHAT
_GAME_MENU|HLAVNÍ MENU
_BACK_TO_GAME|VRÁTIT SE DO HRY
_CHANGE_WEAPON|ZMĚNIT ZBRAŇ
_SAVE_MAP|ULOŽIT MAPU
_EXIT_MAIN_MENU|ODEJÍT DO HLAVNÍHO MENU
_SET1|SET 1
_SET2|SET 2
_SET3|SET 3
_PRIMARY|PRIMÁRNÍ
_SECONDARY|SEKUNDÁRNÍ
_MELEE|NA BLÍZKO
_BUILDING_BLOCK|BLOK
_ADDITIONAL|SPECIÁLNÍ
_COIN|mince
_COINS|mince
_VOICE|hlas
_VOICES|hlasy
_DAMAGE|POŠKOZENÍ
_CAGE|ZÁSOBNÍK
_STOCK|NÁBOJE
_RATE_FIRE|RYCHLOST STŘELBY
_DISTANCE|DOSTŘEL
_ACCURACY|PŘESNOST
_RELOAD_SPEED|RYCHLOST PŘEBYTÍ
_RECOIL|SPĚTNÝ RÁZ
_PROPERTIES|PENETRACE
_MOBILITY|MOBILITA
_OVERVIEW|PODÍVAT SE
_WEAR_WEAPON|VYBAVIT SE
_REMOVE_WEAPON|ZAHODIT ZBRAŇ
_COLOR_SKIN|BARVA KŮŽE
_COLOR_EYE|BARVA OČÍ
_COLOR_HAIR|BARVA VLASŮ
_HAIRSTYLE|STYL ÚČESU
_EYE_TYPE|OČI
_BEARD|VOUSY
_HAT|KLOBOUK
_BODY|TĚLO
_PANTS|KALHOTY
_BOOTS|BOTY
_BASIC_LVL|ZÁKLADNÍ Lv.
_FRAGS|ELIMINACE:
_PROGRESS|POSTUP
_WITHOUT_SIGHT|BEZ PUŠKOHLEDU
_NEW_MAP|NOVÁ MAPA
_IS_LOADING|NAČÍTÁNÍ
_NAME_MAP|NÁZEV MAPY
_SIZE_MAP|VELIKOST MAPY
_HEIGHT_MAP|VÍŠKA
_CREATE|VYTVOŘIT
_LOAD|NAČÍST
_CHANGE_NAME|ZMĚNIT JMÉNO
_SAVING|UKLÁDÁNÍ...
_PURCHASE_CHANGE_NAME|Koupit přejmenování (2 attempts)
_BUY|KOUPIT
_REGULAR_TASKS|OByČEJNÝ ÚKOL
_ACTIVE_TASKS|AKTIVNÍ ÚKOL
_PROGRESS_ACTIVITIES|Postup těchto úkolů je pořád proveden
_MUST_SELECT_TASK|Musíš vybrat úkol aby jsi ho aktivoval
_NEW_LVL|NOVÁ ÚROVEŇ
_REACH_LVL|DOSÁHNI %param% . LEVELU
_SHTORM_TROOPER|TROOPER
_FRAGS_ASSAULT_RIFLE|Dosáhni %param% eliminací útočnou puškou
_MADE_IN_RUSSIA|«VYROBENO V RUSKU»
_MADE_IN_RUSSIA2|«VYROBENO V RUSKU 2»
_FRAGS_RUSSIAN_WEAPON|Dosáhni %param% eliminací ruskou zbraní
_SNIPER|ODSTŘELOVAČ
_FRAGS_SNIPER_RIFLE|Dosáhni 1000 eliminací odstřelovací puškou
_SECONDARY_WEAPON|SEKUNDÁRNÍ ZBRAŇ
_FRAGS_PISTOL|Dosáhni 300 eliminací pistolí
_GIFT_CASE_ANNIVERSARY|Dárkový kufřík k výročí
_GIFT_KEY_ANNIVERSARY|Dárkový klíč k výročí
_FRAGS_HEADSHOT|Dosáhni 500 eliminací headshotem
_VICTORY_DAY|VÍTĚZNÝ DEN
_GIFT_CASE_VICTORYDAY|Dárkový kufřík k výtěznému dni
_GIFT_KEY_VICTORYDAY|Dárkový klíč k výtěznému dni
_VICTORY_CASE|VÍTĚZNÝ KUFŘÍK
_FRAGS_ANY_WEAPON_THIS_CASE|<size=14>Dosáhni 1000 eliminací<br><color=orange>+50% k postupu při použití zbraně z této bedny</color></size>
_GIFT_CASE_HALLOWEEN|Dárkový kufřík k halloweenu
_GIFT_KEY_HALLOWEEN|Dárkový klíč k halloweenu
_FRAGS_MELEE_WEAPON|Dosáhni 500 eliminací zbraní na blízko
_HAPPY_NEW_YEAR|ŠŤASTNÝ NOVÝ ROK
_FRAGS_ANY_WEAPON|Dosáhni 1000 eliminací jakoukoli zbraní
_AWARE_AWARD|VEZMI SI ODMĚNU
_SELECT_TASK|VYBER SI ÚKOL
_SELECTED|VYBRÁNO
_QUALITY_GRAPHICS|KVALITA
_SWITCHED_OFF|POVOLENO
_SWITCHED_ON|ZAKÁZÁNO
_CENTER|CENTRŮM
_LEFT|DOLEVA
_WHITE|BÍLÝ
_GREEN|ZELENÝ
_YELLOW|ŽLUTÝ
_BLUE|MODRÝ
_ORANGE|ORANŽOVÝ
_MEAN|NORMÁLNÍ
_HIGH|VYSOKÉ
_VERY_HIGH|VELICE VYSOKÉ
_LOW|NÍZKÉ
_ULTRA|ULTRA
_RECRUIT|REKRUT
_COLOR_SIGHT|BARVA ZAMĚŘOVAČE
_DISPLAY_LIFE|UKAZETEL ZDRAVÍ
_CHAT_FILTER|FILTR CHATU
_NETWORK_SURFACE|NETWORK SMOOTH
_DEVELOPERS_MODE|VÝVOJÁŘSKÝ MÓD
_SCREEN_RESOLUTION|ROZLIŠENÍ OBRAZOVKY
_DYNAMIC_LIGHTING|DYNAMICKÁ SVĚTLA
_BLICKS|BLICKS
_PARTICLES|PARTICLES
_SMOOTHING|SMOOTHING
_MOTION_BLUR|MOTION BLUR
_FULL_SCREEN|Tlačítko pro celou obrazovku <color=#FF0>F9</color>
_MOUSE_SENSITIVITY|CITLIVOST MYŠE
_MOUSE_SENSITIVITY_AIM|CITLIVOST MIŠE (AIM)
_SOUND_VOLUME|HLASITOST ZVUKŮ
_MUSIC_VOLUME|HLASITOS HUDBY
_REPEAL|ODEJÍT
_SAVE|ULOŽIT
_SETTINGS_SAVED|NASTAVENÍ ULOŽENO!
_BACK|ZPÁTKY
_OFFICIAL_SERVER|OFFICIÁLNÍ SERVERY
_USER_SERVER|UŽIVATELSKÉ SERVERY
_BASIC_MODE_GAME|Obyčejné herní módy a mapy
_MODIFIED_MODE_GAME|Upravené herní módy a uživateli vytvořené mapy
_HIDE_FULL_SERVER|Skrýt plné servery
_HIDE_EMPTY_SERVER|Skrýt prázdné servery
_ALL_MODES|Všechny módy
_FILTER_TDM|Týmový deathmatch
_FILTER_FFA|Volné pro všechny
_FILTER_SHOVEL|Lopatová bytva
_FILTER_ELIMINATION|Eliminace
_MODE_TDM|TÝMOVÝ DEATHMATCH
_MODE_SHOVEL|LOPATOVÁ BYTVA
_MODE_FFA|VOLNÉ PRO VŠECHNY
_MODE_TEST|TESTOVACÍ MÓD
_MODE_ELIMINATION|ELIMINACE
_MODE_INFECTION|INFEKCE
_RENDER_DEV|RENDER CHAR
_RENDER_CASE|RENDER CASE
_EDITOR_SKIN|EDITOR SKINŮ
_EDITOR_MAP|EDITOR MAP
_SQUAD|ODDÍL
_CREATE_SERVER|VYTVOŘIT SERVER
_REFRESH_SERVER|OBNOVIT LIST
_SERVER|SERVER
_MODE|MÓD
_PLAYERS|HRÁČI
_LEVEL|ÚROVEŇ
_CONNECT|PŘIPOJIT
_TEST_MAP|TESTOVAT MAP
_LOAD_MAP|NAČÍST MAP
_NEW_MAP|NOVÁ MAPA
_NEW_SKIN|NOVÝ SKIN
_LOAD_SKIN|NAČÍST SKIN
_EXPA|EXP:
_LEVEL_PROGRESS|POSTUP ÚROVNĚ:
_DEATH|ÚMRTÍ:
_RATIO|POMĚR Z/S:
_ASSIST|ASISTENCE:
_HEADSHOT|HEADSHOTY:
_PLAYER|HRÁČ
_NOT_ENTER_RATING|NENÍ V HODNOCENÍ
_SHOW|UKÁZAT
_WAITING_CONFIRM|Čekání na potvrzení...
_THANK_YOU_PURCHASE|Děkujeme za nákup! Věc je už v inventáři
_TRY_AGAIN|Zlištěna chyba, prosím zkuste později.
_CASE_CONTAIN_SUBJECTS|Kufřík může obsahovat:
_CASE_IN_WORKSHOP|Tenhle kufřík můžeš dostat ve workshopu ve vyměňonací sekci
_CASE_JOB|Tenhle kufřík můžeš dostat pouze za splnění úkolu
_AVAILABLE_CASE|Dostupné kufříky:
_SUPPLY THROUGH|Opětovné uložení v režimu
_KEY_ONE_OPEN|Jednočasový klíč otevírá odpavídající kufřík
_COSTUME_CAN_COMBINED|Kostím charakteru (může být kombinováno s ostatním oblečením)
_OPEN|OTEVŘÍT
_COST|STOJÍ:
_BUY_MORE|ZAKOUPIT +1
_GOTO|GOTO
_NOT_MISS_COIN|Nemáš dost mincí na zakoupení
_FILL_COINS|PŘIDAT MINCE
_EXIT|EXIT
_NO_WEAPON|ŽÁDNÁ ZBRAŇ
_MASTERLY|MISTROVSKÉ!
_PERFECTLY|DOKONALÉ!
_EXCELLENT|SKVĚLÉ!
_IDEALLY|DOBRÉ!
_CLICK_SELECT_WEAPON|ZMÁČKNI <color=yellow>E</color> ABY JSI ZMĚNIL SET
_WEAPON_CHANGE_REVIVAL|ZBRANĚ SE ZMĚNÍ PŘI PŘÍŠTÍM OŽIVENÍ
_NO_AMMO|DOŠLY NÁBOJE
_WON|VÝHRA
_NEXT_GAME_WILLBE|PŘÍŠTÍ HRA ZAČNE ZA
_GAME_OVER|HRA ZKONČILA
_TEAM_RED_WINS|ČERVENÍ VYHRÁLI
_TEAM_BLUE_WINS|MODŘÍ VYHRÁLI
_DRAW|REMÍZA
_YOU_WERE_KILLED|ZABYL TĚ
_WEAPON|Zbraň
_SPECIALIZATION|Specializace
_YOU|TY
_ENEMY|NEPŘÍTEL
_HOLD_REDIAL_VIEWING|HOLD <color=yellow>H</color> FOR VIEW
_TO_TEAM|(team)
_TOTAL|TOTAL
_WAITING_AUTH|ČEKÁNÍ NA PŘIHLÁŠENÍ
_PLAY|HRÁT
_INVENTORY|INVENTÁŘ
_MENU_WEAPON|ZBRANĚ
_CHARACTER|CHARAKTER
_CASES|KUFŘÍKY
_PROFILE|PROFIL
_SHOP|OBCHOD
_KEYS|KLÍČE
_SUIT|OBLEKY
_WORKSHOP|WORKSHOP
_PARSE|VYMĚNIT
_UPGRADE|VYLEPŠIT
_BUYING_CASES|PRODAT KUFŘÍK
_TASKS|ÚKOLY
_COMBAT|SOUBOJ
_BONUSES|BONUSY
_RATING|HODNOCENÍ
_OPTIONS|NASTAVENÍ
_GAME|HRA
_GRAPHICS|GRAFIKA
_CONTROL|OVLÁDÁNÍ
_SOUND|ZVUKY
_SELECT_NAME|VYBER JMÉNO
_COMPLETION|KOUPIT ZLATO
_CLANS|KLANY
_MY_CLAN|MŮJ KLAN
_FIND_CLAN|NAJÍT KLAN
_MESSAGES|ZPRÁVY
_CLICK_CHANGE_NAME|KLIKNI PRO ZMĚNU JMÉNA
_CLICK_FILL_COINS|KLIKNI PRO PŘIDÁNÍ ZLATA
_CLICK_CONTINUE|KLIKNI MIŠÍ PRO POKRAČOVÁNÍ
_AUTH_SUCCESSFULLY|PŘIHLÁŠENÍ BYLO ÚSPĚŠNÉ
_YOU_KILLED_PLAYER|Zabyl jsi hráče
_YOU_KILLED|Zabyl jsi
_SURVIVAL_TIME|Čas přežití
_MIN|minuty
_SERVER_AVAILABLE_WILL_BE|The next entry to the server will be available through
_NOT_CONNECT_TIMEOUT|PŘIHLÁŠENÍ K SERVERU SELHALO (ČAS VYPRŠEL)
_PRESERVED|ULOŽENO!
_INCORRECT_LENGTH|NESPRÁVNÁ DÉLKA
_MIX_LANGUAGES|MIX JAZIKŮ
_NAME_BUSY|JMÉNO UŽ JE POUŽÍVÁNO
_YOU_TAKE|TVÉ MÍSTO
_PLACE_RATING|V HODNOCENÍ
_MEMBERS|SPOLUČLENOVÉ
_INCORRECT_CLAN_NAME|ŠPATNÝ NÁZEV KLANU
_CLAN_NOT_FOUND|KLAN NEBYL NALEZEN
_CLAN_FOUND|KLAN BYL NALEZEN
_NOT_CONNECT_LOST_CONNECTION|PŘIHLÁŠENÍ K SERVERU SELHALO (STRACENO PŘIPOJENÍ)
_ONLINE|ONLINE:
_LOADING|NAČÍTÁNÍ
_CLICK_OPEN_ADMIN_MENU_SERVER|ZMÁČKNI <color=yellow>K</color> ABY JSI OTEVŘEL MENU PRO ADMINISTRACI
_MENU_ADMIN_SERVER|SERVEROVÉ ADMINISTRAČNÍ MENU
_SERVER_CONFIG|SERVER CONFIG
_MAPS_MANAGER|MANAŽÉR MAP
_PLAYERS_MANAGER|MANAŽÉR HRÁČE
_MAPS_LOADING|NAČÍTÁNÍ MAP
_MAPS_AVAILABLE|DOSTUPNÉ MAPY
_MAPS_ROTATION|ROTACE MAP
_ADD_TO_ROTATION|PŘIDAT DO ROTACE
_REQUEST_ADDING_TO_ROTATION|POŽADOVAT PŘIDÁNÍ MAPY
_TO_ROTATION|do rotace
_REMOVE_FROM_ROTATION|ODSTRANIT Z ROTACE
_REQUEST_REMOVE_FROM_ROTATION|požadovat odstranění mapy
_FROM_ROTATION|z rotace
_LAUNCH_MAP|SPUSTIT MAPU
_REQUEST_LAUNCH_MAP|požadovat zpuštění mapy
_KICK_FROM_SERVER|VYHODIT ZE SERVERU
_REQUEST_FOR_KICK_PLAYER|požadovat vyhození hráče
_PERMISSION_CHAT|ZAMÍTNOUT/POVOLIT CHAT
_REQUEST_SILENCE_PLAYER|požadovat ztišení/zesílení hráče
_PERMISSION_BUILDING|ZAKÁZAT/POVOLIT STAVĚNÍ
_REQUEST_BUILD_FOR_PLAYER|požadeovat stavění pro hráče
_VISIBILITY_SERVER|VIDITELNOST SERVERU
_VISIBLE_EVERYONE|VŠICHNI
_HIDDEN|SKRITÝ
_MODIFIERS|MODIFIKÁTORY
_ALLOW_BREAK|POVOLIT NÍČENÍ
_FORBIDDEN_BREAK|ZAKÁZAT NIČENÍ
_ALLOW_BUILD|POVOLIT STAVĚNÍ
_FORBIDDEN_BUILD|ZAKÁZAT STAVĚNÍ
_ALLOW_ATTACK|POVOLIT ÚTOČENÍ
_FORBIDDEN_ATTACK|ZAKÁZAT ÚTOČENÍ
_LOCAL_MAPS|LOKÁLNÍ MAPY
_MAPS_ON_SERVER|SERVEROVÉ MAPY
_REMOVE_MAP|ODSTRANIT MAPU
_REQUEST_REMOVE_MAP|požadovat odstranění mapy
_SEND_TO_SERVER|POSLAT SERVERU
_DOWNLOAD_FROM_DISK|NAČÍST Z HDD
_REQUEST_PLAYER_TO_CLAN|požádaní o přijetí do klanu
_CLANCHAT|KLANOVÝ CHAT
_PLAYERS|HRÁČI
_LANGUAGE|JAZYK
_TAP_CONTINUE|KLIKNI PRO POKRAČOVÁNÍ
_CROSSPLAY|Meziplatformové servery
_FULL|PLNÝ
_CHANGE_TEAM|ZMĚNIT TÝM
_QUICK_PLAY|RYCHLÁ HRA
_SERVER_LIST|LIST SERVERŮ
_LOGOUT|ODPOJIT SE ZE SERVERU
_FPS_LIMIT|LIMIT FPS
_FIELDOFVIEW|POLE VIDĚNÍ
_SENSITIVITY|CITLIVOST
_SENSITIVITY_AIM|CITLIVOST (MÍŘENÍ)
_LOGIN_GAME|VSTOUPIT DO HRY
_LOGIN_VK|VSTOUPIT POMOCÍ VK
_ORDER_LIST|LIST PŘÍKAZŮ
_CLAN_EXP|KLANOVÉ EXP
_LEVEL_PROGRESS|POSTUP ÚROVNĚ
_CLAN_FRAGS|KLANOVÁ ZABITÍ:
_CLAN_DEATHS|KLANOVÉ SMRTI:
_PLAYER_STATS|HRÁČOVY STATISTYKY
_PLAYER_GAINED|ZÍSKANÝCH EXP:
_UPLOAD_FILES|UPLOADOVAT SLOŽKY
_ROUND|KOLO
_ROUND_WON|KOLO VYHRÁNO
_ROUND_LOSE|KOLO PROHRÁNO
_ENEMY_ELIMINATED|NEPŘÍTEL ELIMINOVÁN
_ROUND_TIME_END|ROUND TIME EXCEEDED
_RESET|RESETOVAT
_CHANGE_CONTROL|ZMENIT OVLÁDÁNÍ
_FILTER_INFECTION|Infekce
_PRESET|PRESET
_RENDER_DISTANCE|RENDER DISTANCE
_PERFOMANCE|PERFOMANCE
_QUALITY|KVALITA
_PLACE_WEAPON_CASE_STEAM|Vlož 3 identické věci <color=red>(zbraně budou navždy zníčeny)</color>, ve vísledku obdržíš speciální kufřík.
_MOVEMENT|POHYB
_WEAPONS|ZBRANĚ
_CHAT|CHAT
_GAMEPLAY|GAMEPLAY
_FORWARD|DOPŘEDU
_BACKWARD|DOZADU
_STRAFE_LEFT|DOLEVA
_STRAFE_RIGHT|DOPRAVA
_PREVIOUS_WEAPON|PŘEDCHOZÍ ZBRAŇ
_ALL_CHAT|CHAT (ALL)
_TEAM_CHAT|TEAMOVÝ CHAT
_CHANGE_SET|ZMĚNIT SET
_SECOND_ATTACK|PŘÍDAVNÉ TLAČÍTKO ÚTOKU
_CROUCH|PLÍŽENÍ
